,customer_id,head_count,grand_total,recency,vendor_id,q_recency,q_monetary,q_frequency,cluster
0,92PEE24,-0.8923709982766365,-0.6707955095837091,-0.19881718964671632,105,2,1,1,2
1,QS68UD8,-0.8923709982766365,-0.5910349850451966,-0.19881718964671632,294,2,1,1,2
2,MB7VY5F,-0.3596640894938485,-0.17773044880017672,-0.19881718964671632,83,2,3,1,2
3,KDJ951Y,-0.8923709982766365,-0.7070502934648513,-0.19881718964671632,90,2,1,1,2
4,BAL0RVT,0.7057497280717275,0.7503920185570606,-0.19881718964671632,83,2,4,3,0
5,U263OCD,0.17304281928893955,0.09780590869650306,-0.19881718964671632,83,2,3,2,2
6,I9DNSMJ,-0.3596640894938485,-0.17773044880017672,-0.19881718964671632,105,2,3,1,2
7,I9DNSMJ,-0.3596640894938485,-0.17773044880017672,-0.19881718964671632,105,2,3,1,2
8,QYXXJCF,-0.3596640894938485,-0.5547802011640545,-0.19881718964671632,78,2,2,1,2
9,52ZNRWH,1.2384566368545156,0.018045384157990625,-0.19881718964671632,83,2,3,3,0
10,QQEWRHI,-0.8923709982766365,-0.5910349850451966,-0.19881718964671632,83,2,1,1,2
11,DRR8CO9,-0.3596640894938485,-0.3952591520870292,-0.19881718964671632,154,2,2,1,2
12,VJP7GIV,-0.8923709982766365,-0.8085636883320491,-0.19881718964671632,193,2,1,1,2
13,DRR8CO9,-0.3596640894938485,-0.3952591520870292,-0.19881718964671632,154,2,2,1,2
14,6SJOL5B,-0.8923709982766365,-0.9463318670803889,-0.19881718964671632,193,2,1,1,2
15,1HCWZ0H,-0.3596640894938485,-0.13422470814280624,-0.19881718964671632,83,2,3,1,2
16,G1MZ1IT,-0.3596640894938485,-0.37350628175834405,-0.19881718964671632,83,2,2,1,2
17,V27UTM4,-0.8923709982766365,-0.9100770831992469,-0.19881718964671632,78,2,1,1,2
18,0UW9NTR,-0.8923709982766365,-0.8883242128705616,-0.19881718964671632,78,2,1,1,2
19,TBOTOCJ,-0.8923709982766365,-0.6925483799123943,-0.19881718964671632,4,2,1,1,2
20,O7Q0U3M,-0.8923709982766365,-0.8883242128705616,-0.19881718964671632,78,2,1,1,2
21,B6Y7ZKT,0.17304281928893955,0.5473652288226649,-0.19881718964671632,288,2,4,2,0
22,ES0KDB7,-0.8923709982766365,-0.9100770831992469,-0.19881718964671632,78,2,1,1,2
23,CLNV54D,-0.8923709982766365,-0.5692821147165112,-0.19881718964671632,85,2,2,1,2
24,7SU8OE1,-0.3596640894938485,-0.07621705393297885,-0.19881718964671632,83,2,3,1,2
25,IU4IHX1,-0.8923709982766365,-0.8085636883320491,-0.19881718964671632,195,2,1,1,2
26,96979ZR,-0.3596640894938485,-0.5547802011640545,-0.19881718964671632,78,2,2,1,2
27,N41VQEP,-0.3596640894938485,-0.8303165586607343,-0.19881718964671632,161,2,1,1,2
28,IZ17PI0,-0.8923709982766365,-0.8085636883320491,-0.19881718964671632,196,2,1,1,2
29,SKXXU3W,-0.3596640894938485,-0.6707955095837091,-0.2297233622968698,75,2,1,1,2
30,KYFPWWC,1.2384566368545156,0.8809092405291722,-0.2297233622968698,20,2,4,3,0
31,L1LYPLK,-0.8923709982766365,-0.6490426392550238,-0.2297233622968698,221,2,1,1,2
32,KWGMDMP,0.17304281928893955,-0.13422470814280624,-0.2297233622968698,195,2,3,2,2
33,NYDQ8RO,-0.3596640894938485,-0.3952591520870292,-0.2297233622968698,300,2,2,1,2
34,R7XBMFV,-0.8923709982766365,3.157709668264895,-0.2297233622968698,20,2,4,1,0
35,8D0F3NE,-0.3596640894938485,-0.25749097333868926,-0.2297233622968698,221,2,3,1,2
36,Y19T6TU,-0.8923709982766365,2.019309454397034,-0.2297233622968698,20,2,4,1,0
37,765LAHD,-0.3596640894938485,4.781923986140061,-0.2297233622968698,20,2,4,1,3
38,SNS7GCQ,1.2384566368545156,0.3878441797456397,-0.2297233622968698,20,2,4,3,0
39,NDV7DYO,0.7057497280717275,1.0259283760537405,-0.2297233622968698,81,2,4,3,0
40,WSVG6Y9,2.83657736320288,1.3594723877602477,-0.2297233622968698,75,2,4,3,0
41,MYPR8IK,1.7711635456373036,0.9316659379627711,-0.2297233622968698,300,2,4,3,0
42,9M9LHRY,-0.3596640894938485,-0.8303165586607343,-0.2297233622968698,195,2,1,1,2
43,UINGJGR,0.17304281928893955,-0.6055368985976534,-0.2297233622968698,180,2,1,2,2
44,5XOVBAT,-0.3596640894938485,-0.8013127315558206,-0.2297233622968698,75,2,1,1,2
45,3ISHF8M,-0.3596640894938485,-0.3009967139960599,-0.2297233622968698,20,2,2,1,2
46,KHL0M3N,1.7711635456373036,-0.6925483799123943,-0.2297233622968698,231,2,1,3,0
47,R4TW4EP,-0.3596640894938485,-0.07621705393297885,-0.2297233622968698,75,2,3,1,2
48,TL7Z2DM,-0.3596640894938485,-0.4532668062968566,-0.2297233622968698,75,2,2,1,2
49,T3PR0JO,-0.8923709982766365,-0.8448184722131912,-0.2297233622968698,85,2,1,1,2
50,P6I0H2R,0.7057497280717275,-0.15597757847149155,-0.2297233622968698,195,2,3,3,0
51,VT0Z8V9,0.17304281928893955,-0.5692821147165112,-0.2297233622968698,193,2,2,2,2
52,HBLGAXG,-0.8923709982766365,-0.6272897689263387,-0.2297233622968698,303,2,1,1,2
53,KXGTTXE,-0.3596640894938485,-0.09796992426166415,-0.2297233622968698,225,2,3,1,2
54,MSZLX2A,0.17304281928893955,0.6778824507947764,-0.2297233622968698,81,2,4,2,0
55,1WUPJGN,-0.3596640894938485,-0.025460356499379982,-0.2297233622968698,221,2,3,1,2
56,MOGAMGX,-0.8923709982766365,2.019309454397034,-0.2297233622968698,20,2,4,1,0
57,1WUPJGN,-0.3596640894938485,-0.2792438436673746,-0.2297233622968698,221,2,3,1,2
58,AJ9WM61,-0.8923709982766365,-0.6925483799123943,-0.2297233622968698,81,2,1,1,2
59,MOGAMGX,-0.3596640894938485,-0.06171514038052207,-0.2297233622968698,300,2,3,1,2
60,T2XWPU1,-0.3596640894938485,0.6561295804660912,-0.2297233622968698,110,2,4,1,2
61,VDY1B1V,-0.8923709982766365,-0.7940617747795922,-0.2297233622968698,81,2,1,1,2
62,O7O130D,-0.8923709982766365,-0.5547802011640545,-0.2297233622968698,176,2,2,1,2
63,NPO5O5W,-0.3596640894938485,0.7358901050046038,-0.2297233622968698,180,2,4,1,2
64,KZHIUNS,-0.8923709982766365,-0.6707955095837091,-0.2297233622968698,33,2,1,1,2
65,T6PX280,0.17304281928893955,1.3812252580889328,-0.2297233622968698,23,2,4,2,0
66,O7K6KY6,0.17304281928893955,-0.35175341142965877,-0.2297233622968698,115,2,2,2,2
67,LLXSRZN,0.17304281928893955,0.5328633152702081,-0.2297233622968698,113,2,4,2,0
68,XOIAMO3,1.7711635456373036,0.4531027907316957,-0.2297233622968698,4,2,4,3,0
69,X6FWXXL,4.434698089551244,5.949328027112836,-0.2297233622968698,113,2,4,3,3
70,318RTJF,0.7057497280717275,1.4174800419700748,-0.2297233622968698,13,2,4,3,0
71,PH2CZRN,-0.8923709982766365,-0.4895215901779987,-0.2297233622968698,4,2,2,1,2
72,FWNWSYH,3.901991180768456,3.0344434030690124,-0.2297233622968698,4,2,4,3,3
73,RFZNXM7,-0.3596640894938485,0.36609130941695445,-0.2297233622968698,288,2,4,1,2
74,20E1IQT,1.2384566368545156,0.032547297710447405,-0.2297233622968698,20,2,3,3,0
75,FWNWSYH,-0.3596640894938485,-0.17773044880017672,-0.2297233622968698,4,2,3,1,2
76,8FALCPS,0.17304281928893955,-0.7868108180033638,-0.2297233622968698,193,2,1,2,2
77,VE6IAW5,-0.3596640894938485,0.22832313066861462,-0.2297233622968698,300,2,3,1,2
78,Y0NMMTW,-0.8923709982766365,-0.8303165586607343,-0.2297233622968698,157,2,1,1,2
79,90HT14J,0.7057497280717275,0.09780590869650306,-0.2297233622968698,157,2,3,3,0
80,QSBN2T0,1.2384566368545156,1.656761615585613,-0.2297233622968698,113,2,4,3,0
81,22EG11G,0.7057497280717275,0.14131164935387366,-0.2297233622968698,4,2,3,3,0
82,WNB9LPJ,0.17304281928893955,0.09780590869650306,-0.2297233622968698,159,2,3,2,2
83,9R7Z8H2,-0.8923709982766365,-0.7505560341222217,-0.2297233622968698,289,2,1,1,2
84,TC2H7PX,-0.3596640894938485,-0.17047949202394833,-0.2297233622968698,221,2,3,1,2
85,YW3J3MM,-0.3596640894938485,-0.09796992426166415,-0.2297233622968698,113,2,3,1,2
86,U31BNUR,0.7057497280717275,2.012058497620805,-0.2297233622968698,303,2,4,3,0
87,B19DQ80,-0.3596640894938485,0.15581356290633044,-0.2297233622968698,106,2,3,1,2
88,U31BNUR,-0.8923709982766365,-0.29374575721983137,-0.2297233622968698,134,2,2,1,2
89,EB6UI7F,-0.3596640894938485,-0.3009967139960599,-0.2297233622968698,76,2,2,1,2
90,FWNWSYH,-0.8923709982766365,-0.6707955095837091,-0.2297233622968698,4,2,1,1,2
91,Q9YJZ1Q,-0.8923709982766365,-0.5547802011640545,-0.2297233622968698,303,2,2,1,2
92,RSX05RF,-0.8923709982766365,0.23557408744484315,-0.2297233622968698,83,2,3,1,2
93,43RZB8B,-0.3596640894938485,-0.11247183781412093,-0.2297233622968698,76,2,3,1,2
94,FRBAFP4,0.17304281928893955,1.3594723877602477,-0.2297233622968698,180,2,4,2,0
95,HZEPQ0Z,-0.8923709982766365,-0.6490426392550238,-0.2297233622968698,113,2,1,1,2
96,JHLR9GG,0.17304281928893955,0.6126238398087208,-0.2297233622968698,303,2,4,2,0
97,EERHFLJ,0.7057497280717275,0.6126238398087208,-0.2297233622968698,104,2,4,3,0
98,M2GM6HC,-0.3596640894938485,-0.25749097333868926,-0.2297233622968698,104,2,3,1,2
99,8BZR1IV,-0.3596640894938485,-0.5040235037304555,-0.2297233622968698,20,2,2,1,2
100,YBKB628,-0.8923709982766365,-0.5330273308353691,-0.2297233622968698,303,2,2,1,2
101,OH64IO0,-0.3596640894938485,-0.4387648927443997,-0.2297233622968698,310,2,2,1,2
102,RLOTER7,-0.3596640894938485,-0.8448184722131912,-0.2297233622968698,78,2,1,1,2
103,NY73W6G,-0.8923709982766365,-0.4532668062968566,-0.2297233622968698,113,2,2,1,2
104,RRVZGFC,0.17304281928893955,-0.4532668062968566,-0.2297233622968698,196,2,2,2,2
105,OQF2WQH,0.17304281928893955,0.5908709694800355,-0.2297233622968698,113,2,4,2,0
106,0NDRIYA,0.17304281928893955,-0.7070502934648513,-0.2297233622968698,55,2,1,2,2
107,4E1QHWW,0.17304281928893955,-0.31549862754851665,-0.2297233622968698,78,2,2,2,2
108,KXXRD9J,0.7057497280717275,-0.2357381030100041,-0.2297233622968698,157,2,3,3,0
109,JKXJDSX,-0.8923709982766365,-0.9608337806328459,-0.2297233622968698,180,2,1,1,2
110,K7XV6Q7,-0.8923709982766365,-0.8883242128705616,-0.2297233622968698,78,2,1,1,2
111,JBAG0YE,0.17304281928893955,0.8374034998718015,-0.2297233622968698,201,2,4,2,0
112,AF20MV6,1.7711635456373036,2.497872601628109,-0.2297233622968698,274,2,4,3,3
113,NFFF7FQ,0.17304281928893955,-0.31549862754851665,-0.2297233622968698,4,2,2,2,2
114,24BIGYR,-0.3596640894938485,0.9461678515152279,-0.2297233622968698,265,2,4,1,0
115,V5EUZQT,-0.3596640894938485,-0.35175341142965877,-0.2297233622968698,90,2,2,1,2
116,NBHQJXI,-0.8923709982766365,0.07605303836781775,-0.2297233622968698,265,2,3,1,2
117,0HUMB5G,1.2384566368545156,0.7866468024382027,-0.2297233622968698,304,2,4,3,0
118,A9EZUO7,1.7711635456373036,1.3812252580889328,-0.2297233622968698,113,2,4,3,0
119,5MQBPLB,0.17304281928893955,0.03979825448667567,-0.2297233622968698,113,2,3,2,2
120,9U33UT3,-0.3596640894938485,-0.4750196766255418,-0.2297233622968698,83,2,2,1,2
121,OQ27G1K,-0.3596640894938485,-0.2357381030100041,-0.2297233622968698,4,2,3,1,2
122,8612ERV,-0.8923709982766365,-0.11972279459034946,-0.2297233622968698,113,2,3,1,2
123,IZMDXXS,2.3038704544200916,1.656761615585613,-0.2297233622968698,78,2,4,3,0
